line,expression,url
12,apl-dyalog⎕← 1 2 3 4 + 10,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVMFLQVDA24UMS0geSh9SYKhv//AwA
14,apl-dyalog⎕← 3 7 9 - 5,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFcwVLBV0FUy5oAKmCoYKJkABI6CUyf//AA
18,"apl-dyalogA ← 2 3⍴10 20,30 40,50 60",https://tio.run/##SyzI0U2pTMzJT///31HhUdsEBSMF40e9WwwNFIwMdIwNFEwMdEwNFMwMuJyQZRWMdIwVTHRMFcy4HvVNBUk4KhyeruD0/z8A
29,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGevAlD6/38A
31,apl-dyalogmat ← 2 3 4⍴⍳24,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPioaxpQ/v9/AA
32,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGsaUPb/fwA
33,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkoGCoYKRwaL2hwqOuaQpAhf//AwA
35,apl-dyalog⎕← 1 2 3 ÷ 4 5 7,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUOb1cwUTBVMOeCiRqAhA6tN1Iw0DP9/x8A
41,"K,MLOwsNfr£湏*+Ee",https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBXsFMxj8/x8A
42,"K,MLOwsNfr£湏*+Ee",https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBXsFAwWD//8B
43,"K,MLOwsNfr£湏*+Ee",https://tio.run/##SyzI0U2pTMzJT///qHeugnNOZnK2wqPmuY/6tyqU5Cukp@alFiWWpCrkpZYr5JXmJqUWFf9/1Df1UdsEBUNjBXsFU6P//wE
44,apl-dyalog⎕← 1 2 3 < 4 2 ¯1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVsFEyA9KH1hlxowkb//wMA
46,apl-dyalog⎕← 1 2 3 ≤ 4 2 ¯1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5RMAGyDq035MKQMPr/HwA
48,apl-dyalog⎕← 1 2 3 = 4 2 ¯1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVsFUyA9KH1hlxQYXWnxDwgVAfKqCeqw0TNQVxz9f//AQ
50,apl-dyalog⎕← 1 2 3 ≥ 4 2 ¯1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5VMAGyDq035MKQMPr/HwA
52,apl-dyalog⎕← 1 2 3 > 4 2 ¯1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBXsFEyA9KH1hlxowkb//wMA
55,apl-dyalog⎕← 1 2 3 ≠ 4 2 ¯1,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBUedS5QMAGyDq035IJKqDsl5gGhOlhOPVEdJm4OETBX//8fAA
57,apl-dyalog⎕← ≡ 7,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS5UMOdC4qgnJiWrIwtoGCoYaWoYK5hoYhc1/f8fAA
58,apl-dyalog⎕← 'b' 'e' 'x' ≡ 'bex',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUk9QV1FOBuEJd4VHnQiA/tUKdCyppCBYyVDD8/x8A
59,apl-dyalogmat ← 2 3⍴⍳6,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwXjR71bHvVuNuN61DcVJPKoc5ECUBbO7d0C4v7/DwA
60,apl-dyalog⎕← ≢ 'a',https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS5SUE9U50LimiuYKBghC5gCBYwf9W4xQBbUMFQw0tQwVjDR/P8fAA
61,"apl-dyalog⎕← 'bex' ≢ 'b','e','x'",https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUk1Ir1BUedS4CstR11FOBuEKdCyppCJYwVDD8/x8A
62,apl-dyalogmat ← 2 3 4⍴⍳24,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPiobbICUMH//wA
63,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qG2yAlD6/38A
64,apl-dyalogmat ← 3 4⍴⍳24,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjLhetQ3FSRkCJSYrABU8P8/AA
65,apl-dyalogmat ← 3 4⍴⍳24,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjLhetQ3FSRkqHBovRFQcrICUNH//wA
68,apl-dyalog⎕← 5 ↑ 3 1 4,https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExRMFR61TVQwVjBUMOGCCh1ajyT4/z8A
69,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSR0aL0RUGqiAlDJ//8A
70,apl-dyalogmat ← 3 4⍴⍳12,https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkpHBovTFQcqICUNH//wA
