"syntax","description","expression","tio_link"
"⍬","Empty Numeric Vector","⎕← ⍬ ≡ 0⍴0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9a5ReNS5UMHgUe8Wg///AQ"
"⊢Y","Same (I-combinator): Y","⎕← ⊢  1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS1SUDBUMFIw/v8fAA"
"X DOP Y⊢Z","Separate right operand of dyadic operator (DOP) from its right argument (same as (X DOP Y)Z )","⎕← ⌽⍣3 ⊢ 'Yyy'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9ex91LvYWOFR1yIF9cjKSvX//wE"
"X⊢Y","Right (K-combinator): Y","⎕← 'L' ⊢ 'R'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUfdQVHnUtUlAPUv//HwA"
"X⊢Y","Church Boolean false (X if false, else Y)","⎕← 'true' ⊢ 'false'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtUlBPS8wpTlX//x8A"
"⊣Y","Same (I-combinator): Y","⎕← ⊣  1 2 3","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQedS1WUDBUMFIw/v8fAA"
"X⊣Y","Left (KI-combinator): X","⎕← 'L' ⊣ 'R'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUfdQVHnUtVlAPUv//HwA"
"X⊣Y","Church Boolean true (X if true, else Y)","⎕← 'true' ⊣ 'false'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExTUS4pKU9UVHnUtVlBPS8wpTlX//x8A"
"+Y","Conjugate ('Identity' if Y not complex)","⎕← + 1.2 0j4 ¯5j¯6 'abc'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExS0FQz1jBQMskwUDq03zTq03kxBPTEpWf3/fwA"
"+N","Mirror complex N across x-axis","⎕←+1J2 ¯1J¯2","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtE7QNvYwUDq039Dq03uj/fwA"
"M+N","Adding N to M","⎕← 1 2 3 4 + 10
⎕← 1 2 3 + 2 ¯4 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFYwUjBVMFLQVDA24UMS0geSh9SYKhv//AwA"
"-N","Negate: 0-N","⎕← - 3.2 ¯7 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExR0FYz1jBQOrTdXMPj/HwA"
"M-N","Subtracting N from M","⎕← 3 7 9 - 5
⎕← 5 1 4 - 2 3 4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFcwVLBV0FUy5oAKmCoYKJkABI6CUyf//AA"
"×N","Direction ('Signum' if N is real)","⎕← × 3.1 ¯2 0 3j4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQOT1cw1jNUOLTeSMFAwTjL5P9/AA"
"M×N","Multiplying M and N","⎕← 2 ¯3 4.5 × ¯3 ¯4 2
⎕← 3 1 4 × 10","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFA6tN1Yw0TNVODwdzDy03kTBiAsqa6xgqGACkjE0@P8fAA"
"M×N","Probabilistic AND","⎕← 1 0.5 0.25 0 × 0.5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFQz0TIHYCEgoHJ4O4v3/DwA"
"Mm×Nm","Hadamard product of Mm and Nm","A ← 2 3⍴10 20,30 40,50 60
B ← 2 3⍴1 2,3 4,5 6
⎕← A × B","https://tio.run/##SyzI0U2pTMzJT///31HhUdsEBSMF40e9WwwNFIwMdIwNFEwMdEwNFMwMuJyQZRWMdIwVTHRMFcy4HvVNBUk4KhyeruD0/z8A"
"A×N","Selecting elements satisfying condition A, others to 0","⎕← 1 1 0 1 0 × 3 1 4 1 5","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMgdAAjA9PVzAGMkyA2PT/fwA"
"M∨N","Greatest Common Divisor of M and N","⎕← 15 1 2 7 ∨ 35 1 4 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMTRUMFYwUzBUedaxQMAZxTBQM/v8HAA"
"A∨B","Logical OR","⎕← 0 1 0 1 ∨ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHHCiANYhn@/w8A"
"M∧N","Lowest Common Multiple of M and N","⎕← 15 1 2 7 ∧ 35 1 4 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMTRUMFYwUzBUedSxXMAZxTBQM/v8HAA"
"A∧B","Logical AND","⎕← 0 1 0 1 ∧ 0 0 1 1","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQMFAzB@FHHciANYhn@/w8A"
"⌈N","Rounding up to integer","⎕← ⌈ 3.4 ¯3.4 3 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XQoGOuZKBxaDyKNFQz@/wcA"
"M⌈N","Maximum of M and N","⎕← 1.1 ¯2 ⌈ 8.1 ¯3.4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQM9QwVDq03UnjU06FgAWYb65n8/w8A"
"⌊N","Rounding down to integer","⎕← ⌊ 3.4 ¯3.4 3 0","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9XQpGOuZKBxaDyKNFQz@/wcA"
"M⌊N","Minimum of M and N","⎕← 1.1 ¯2 ⌊ 8.1 ¯3.4","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQM9QwVDq03UnjU06VgAWYb65n8/w8A"
"⌽Y","Reverse last axis of Y","⎕← ⌽ 'trams'","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExQe9exVUC8pSswtVv//HwA"
"⌽Ym","Reflect vertically","mat ← 3 4⍴⍳12
⎕← ⌽ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGevAlD6/38A"
"I⌽Y","Rotate vectors along last axis of Y","⎕← 3 ⌽ 'HatStand'
⎕← ¯2 ⌽ 1 2 3 4 5 6","https://tio.run/##SyzI0U2pTMzJT////1Hf1EdtExSMFR717FVQ90gsCS5JzEtR54KKH1pvBJYxVDACqjFRMFUw@/8fAA"
"⊖Y","Reverse leading axis of Y","mat ← 2 3 4⍴⍳24
⎕← ⊖mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFIwVjBZNHvVse9W42MuF61DcVJPioaxpQ/v9/AA"
"⊖Ym","Reflect horizontally","mat ← 3 4⍴⍳12
⎕← ⊖mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FST0qGsaUPb/fwA"
"I⊖Y","Rotate vectors along leading axis of Y","mat ← 3 4⍴⍳12
⎕← 0 1 2 ¯1 ⊖ mat","https://tio.run/##SyzI0U2pTMzJT///PzexROFR2wQFYwWTR71bHvVuNjTietQ3FSRkoGCoYKRwaL2hwqOuaQpAhf//AwA"
